username,lemmatized_text,extract_hashtags
peteryegon22,  Kisumu people muendelee kuaribu biashara zenu chase investor,MaandamanoThursdays Maandamano Kisumu
jaykashed,  Peaceful demonstration Kisumu let everyday,MaandamanoThursdays
stephenmuriun11,  Dont forget recent fulfil PROPHECY,MaandamanoThursdays
EdwinEdwardo7,  Rip,MaandamanoThursdays Ahoufe
Moha87574655,  Goons know organise invasion loot property destruction blame Azimio,MaandamanoThursdays
stephenmuriun11,  Dont forget recent fulfil PROPHECY,MaandamanoThursdays
LordessJohjoh,  STATE NATION ilifikia hapaa Wuuuueeeeh,MaandamanoThursdays
kevoprezzo,  protest NEVER open business premise Among protestors always criminal Advice nyanza Azimio stronghold DONT open business coz high risk get Looted,MaandamanoMondays MaandamanoThursdays
Mathew_murage,  Citizen tv medium house show thuggery demonstrator Tassia pipeline business premise use whole newshour tell us lose sheep Sawa tu,MaandamanoThursdays
rz3n4cz3n,  Sai TikTok iko reliable kushinda news,MaandamanoThursdays Maandamano
Jeshi_LaBABA,  Different Occasions Police OfficerSame Mission SHOOT KILL,MaandamanoThursdays
HON_GGWACHIRA,  three word explain chaos witness Kisumu Pipeline Outering road police response hardline stance government THINGS FALL APA,MaandamanoThursdays Raila
stephenmuriun11,  remember,MaandamanoThursdays
waryawarya19,  WOULD TEARGAS FASTING MUSLIM ADD BROTHER PRAYERS,Azimio MaandamanoThursdays Maandamano MaandamanoMondays
team_psycho23,  magical team come heal sound available music store,shine LISAXCELINE Indore SupremeCourt MaandamanoThursdays RamadanKareem UkraineWar OpeningDay2023
benjabali,  Dude,MaandamanoThursdays
JimmyKibunja,  Whatever sign today felt 4/5 year come would like think smarter thus agree term look exit strategy rarely corporation outsmart,MaandamanoThursdays baba Ruto
Mathew_murage,  wish Eric isinta journalist get injure QR Police demonstrator aught respect journalist give free medium coverage camera go demonstrator police organizer God protect,MaandamanoThursdays
dully_kimz,  Raila Says Car Shot 7 Times Live Bullets Assassination Attempt,MaandamanoThursdays Raila TheView
stephenmuriun11,  remember,MaandamanoThursdays
stephenmuriun11,  remember,MaandamanoThursdays
benjabali,  SHOOT KILL,MaandamanoThursdays
MissCixx,  Guys pay rent ama cha muhimu ni mawe,MaandamanoThursdays
Daryldesiderium,  Cut anyman doesnt access woman coz backstab sex,MaandamanoThursdays raila ChangeYourOilDNA Blazespaces RHONairobi
SosPee_Tvee, ,Maandamano MaandamanoThursdays
OlechePens,  Sad,MaandamanoThursdays
Brianosiema,  wafungue server story iishe,jacaranda Tassia MaandamanoThursdays
Tevinchy,  Police kisumu long day kondele,MaandamanoThursdays
SallyBolo,  Eish,MaandamanoThursdays
RBryan275,  guy injure journalist youve get new customer incoming,MaandamanoThursdays
iam_mevin,  Kenyans need love country individual~julis malema,MaandamanoThursdays
Tall254,  wonder politics politics principle politics power Kenya,MaandamanoThursdays Maandamano
joeamanon,  day age line argument u prop fools paradise back u come Btw u see circumcised coward steal sheep day,MaandamanoThursdays
MosesNgigeKE,  Kenya Today,MaandamanoThursdays MaandamanoMondays
BashirXaqdoon,  think people avoid kisumu together Luo vandalise property,kisumu kenya MaandamanoThursdays
MutuaLoyd,  1 soul lose 2nd 1 soul lose Today 2 soul lose many soul want Prince Violence Raila Odinga,maandamanomonday MaandamanoThursdays
Lemmy_masai,  must approve show Great BABA,ArrestRaila MaandamanoThursdays
chebormamba,  wrong head back dark day Youre head wrong direction,MaandamanoThursdays
kajonee, ,MaandamanoThursdays kisumu Raila
stephenmuriun11,  Meanwhile ask DEAD ELIJAH Peace Decreed Kenya isnt,MaandamanoThursdays
Ndoroboh,  Watu wa karen tunataka maandamano pia hata sisi pesa yetu ya teargas itumike Please baba spare day,MaandamanoThursdays
joeamanon,  next chapter Kenya write feature mother n sister help patriot brave teargas revolution,MaandamanoThursdays
FlavioKim_,  maandamanos hold posh estates looted business one own politician would put measure end instantly saw happen Mondaythey care wise,MaandamanoThursdays
kuimary1,  people naiveatin Gwacheni mchezo buana,arrest RailaOdinga
muthini2015,  manifestation peaceful maandamano Azimio Coalition play oblivious act rogue demonstrator,MaandamanoThursdays
madtraxx,  kid wonder cant work,AConversationMustBeStarted Raila MaandamanoThursday outeringroad KenyaKwanza Azimio
BiftuFm,  dead mortuary cry Kisumu demonstrator vandalize morgue today Azimio demonstration,MaandamanoThursdays
davisyogi1,  Kenyans Large Enjoy Circus,SupremeCourt RailaOdinga MaandamanoThursdays Ichungwaa
Lmc_89,  united people fight impunity,MaandamanoThursdays
MuthokaTito,  Politics gentle art get vote poor campaign fund rich promise protect Oscar Ameringer,Maandamano MaandamanoThursdays
DjFlamezz_Kenya,  Currently go,Raila MaandamanoThursdays
FlavioKim_,  stop Maandamano go people reason high cost live wont find KiberaMathareImara Daima find KarenKileleshwaRunda big estate ( encourage violence though ) inaweza isha day,MaandamanoThursdays
MichaelKamauNM3,  Oyugis ResidentsUtelised Using police vehicle grab Anarchy encroach slowly slowly time warThe law fall SILENT,MaandamanoThursdays freedom
JoeMbaya,  get point return taxman minimal trader business men tell pointblank go collect tax mau mau decendands whove chest thumb whoever care listen,MaandamanoThursdays
leem_alsina254,  Weeuh Alhamdulillah InshaAllah 🤲,RamadhanKareem MaandamanoThursdays PwaniUniversity BreakingNews
Safariboss,  protestors see devil deal,Azimio
SanyaNabwana,  go,MaandamanoThursdays Maandamano
eva_muchiri,  Arresting bad mistake ’ bound make thing bad everyday,RailaOdinga Maandamano arrest outering Maandamano sifuna arrest
SanyaNabwana,  camaraderie spirit add much need impetus keep pushingThe water timely deal tear gas effect,MaandamanoThursdays Maandamano
OCSleader1,  Pipeline resident si mbarikiwe tu,MaandamanoThursdays
NabwanaSanya,  camaraderie spirit add much need impetus keep pushingThe water timely deal tear gas effect,MaandamanoThursdays Maandamano
KiguruKimani,  level defiance display plan symptomatic someone make conclusive decision would rather destroy Kenya live reality NEVER President Republic Kenya,azimio Maandamano
_gitonga__,  enemy people,MaandamanoThursdays
ItsMJ254,  Maandamano MUST illegal position occupy others revoke nullify tax use appropriately thank soldier mass hear,MaandamanoThursdays
kevoprezzo,  🤣🤣🤣 tha hell Nobody world beat Luos protest Hawa watu hujitolea Gachagua Ruto hatawezana na Hawa watu,MaandamanoThursdays
BreakingNewsKE,  JOURNALISTS condemn increase attack colleague Azimio protest several injure today,MaandamanoThursdays
authenttick,  car shoot criminal police illegal Arrest Raila Odinga youll know Kenyans,Raila Maandamano MaandamanoThursdays
HON_GGWACHIRA,  Mondays might country soon need STATESMEN ( deliberately omit woman misogynist ) context mean skilled WISE leader rescue us fire burn us,MaandamanoThursdays
FlavioKim_,  Lest forget tugege,MaandamanoThursdays
lord_violence2,  difference Uhuru Raila Ruto KalonzoMartha Mudavadi politician theyre political cousin turn,MaandamanoThursdays
AlexWatamu,  Supper time Pipeline Kisumu,Raila MaandamanoThursdays Maandamano
jamesch08808582,  Today demonstration peaceful untill police officer tear gas unarmed kenyan protest street NairobiOur police officer key perpetrator violence country,MaandamanoThursdays
MuthokaTito,  Proof never happen,Maandamano MaandamanoThursdays
MuthokaTito,  Nkama mzee aliwambia wampelekee maiti moja🤔,Maandamano MaandamanoThursdays
marie_sly,  Mnatumwagia maji ya pink kwani ilikua gender reveal,MaandamanoThursdays
kitekimichael,  role play leadership good economy democracy rule law Rest peace |Jacaranda |DP Gachagua |Sakaja |Pope Francis| Gatundu |Nakuru |Kayole| Runda| Edwin Sifuna| Outering Road| Pwani University| Pipeline |William Ruto |MC Fullstop |,Raila Azimio
AllenNext,  2027 youll still demand IEBC open server Nobody take seriously anymore even international community sad humiliate way end political career,Raila MaandamanoThursday MaandamanoMonday MaandamanoThursdays
MacMulley,  feel pain voice Raila need pay damage cause cant continue tactic Maandamano,MaandamanoThursdays
oukois1,  Raila mania,MaandamanoThursdays Maandamano
muthini2015,  Kwee Farewell Home vandalize equipment steal KISUMU,MaandamanoThursdays
MuthokaTito,  🤣 🤣 🤣 🤣 🤣 🤣 🤣 know tenant protest presence protestors agenda must agend,Maandamano MaandamanoThursdays
OWINOOSCAR4,  Jokanyanamdo destroy home town development name maandamano baba didnt mean protect development costarrest thug take advantage maamdamano let security sad overboard,Azimio
odindomarvin,  Today protester loot MORGUE Jaramogi Oginga Odinga hospital Kisumu seem even dead rest peace Raila lose election,MaandamanoThursdays Maandamano MaandamanoMondays
Giftedzoom,  Kindly kama unaenda towards Donholm usiende kaa tu penye uko looter steal anyone sight,MaandamanoThursdays Kibra RailaOdinga
RailaOdinga,  grateful Residents Pipeline selflessly pour water highrise flat douse team intense teargas Mubarikiwe,MaandamanoThursdays
Rachetoh,  Shock Kisumu protester loot supermarket mortuary Yaani hadi kwa morgue tena mnaraid Weuh much nah Outering Road Kisumu,MaandamanoThursdays Raila
pic_speak,  Railas car shoot Raila die today point man must bury long supporter cause chaos funeral Outering road | Tassia | Pipeline | William Ruto,Maandamano MaandamanoMondays MaandamanoThursdays
thatchicpinniey,  Police Oyugis look landcruiser quietly repossess taxpayer leave engine run waste expensive fuel,outeringroad MaandamanoThursdays
ArthurMbugwa2,  human survive one kidney oppose usual two surely possible survive one lung fail 🤷‍ However lot caution change lifestyle necessary MC Fullstop,MaandamanoThursdays
osamaoloo,  desperate success life force desperate help,MaandamanoThursdays
Asamoh_,  DESTROYING PROPEY CRIMINAL ACT reason police notify arrest loot public private property anywhere,MaandamanoThursdays
_MrKaplan1,  kazi mtaani hustler fund sustainable,MaandamanoThursdays
kanyineshman,  Runda Mathare,MaandamanoThursdays Raila
mirrorreflecti9,  Update Kisumu town steal DEAD Yes u hear right morgue vandalize Anyang Nyongo want safe face Azimio leadership feel pain even dead rob,MaandamanoThursdays
CoachBill254,  Zakayos portrait fell today Whats take,MaandamanoThursdays
_heavyZ,  biatch : Lazima serve ifunguliwe,MaandamanoThursdays PwaniUniversity
RashidMohamedK2,  Police shoot three people dead Embakasi East protester destroy amp loot property Police Continue kill People way forward,BREAKING: Jacaranda Nairobi MaandamanoThursdays MaandamanoMondays
KOT_Loyalss,  Kisumu even loot funeral home Fear people,MaandamanoThursdays
sammytkamau,  Mungu Mbele,MaandamanoThursdays
EtteKerubo,  mean care employee expose dangerous work environment Helmet bullet proof vest knee pad elbow pad etc,care MaandamanoThursdays Raila
SaneJohn2,  soon illegitimate regime meet people power head Outering Mambo ilichemuka,MaandamanoThursdays
authenttick,  Police overpower peaceful Kenyans teargas citizen even demonstrate stop high cost living address Babu Owino Mc Fullstop Pipeline outering road Nakuru Eldoret,Raila Maandamano MaandamanoThursdays
Limefiber,  Stay connect productive lightningfast speed unbeatable reliability call us LimeFiber 0730 654444 today,fastinternet reliableservice affordablepricing secureonlineeExperience internetforhomeandbusiness MaandamanoThursdays
Bennyboom486,  SUPPER TUNATOA HAPAA LEO 5+ ODDS 4 GAMES Dont Miss 🤞🤞,NikujaribuTu GamblingTwiitter Demonstrations MaandamanoThursdays pesatips
Meshack_namayi,  call day Kesho mkiskia nikinukia cologne safi watu wangu Jua tu ni kazi ya Outering road Pipeline Tassia tumemaliza Asante Baba,MaandamanoThursdays Raila
Wiseman000002,  Demos Monday Monday BABA Must Handshake pray mantis need unrest,MaandamanoThursdays
tom_mule,  Violence Jacaranda B Center night youth burn car storm house till,MaandamanoThursdays
TestTFBC,  truth absolute regardless support think open server superior supreme court verdict go create chaotic country,Azimio Ukraine Kojoforex 라잌크레이지엠카1위축하해
degit_world,  Looking perfect sexy classy ampof course high processing power laptop business school personal use get cover Visit us amp get HP Envy 17 low KSH 115000,degitworldelectronics MaandamanoThursdays Maandamano Nairobi
mirrorreflecti9,  Enough enough Hon Kimani Ichungwa say destruction property well injury member public journalist policeman,ArrestRaila MaandamanoThursdays
2MBILIMFALME,  WATCH PWANI UNIVERSITY ACCIDENT SCENE RAILA OUTERING ROAD SIAYA PIPELINE IMARA DAIMA NAIVASHA,MaandamanoThursdays KISUMU
IGNateM,  Timid men prefer calm despotism tempestuous sea liberty Thomas Jefferson,Tassia MaandamanoThursdays
Wabayee,  organized criminal use run hustle Business people hard time general especially Nrb Raila amp diehard give Nabii hard time Lets see Nabii respond,Maandamano MaandamanoThursdays MaandamanoMondays
CapitalFMKenya,  law fine Wakili share legal take,MaandamanoThursdays TheLegalInsider QuickOneWakili
_Moses_A,  Seriously even morgue,MaandamanoThursdays
bonventure21,  Kesho Majaaliwa Movie inaendelea,OuterRingMMO MaandamanoThursdays Stringed
Thee_Gixx,  Click Tyga Pwani University Condolences Maxine Wahome,MaandamanoThursdays
Bonjoviey,  demonstration smell long holiday come soon unatoka ofisi Wed unarudi Tue know know,MaandamanoThursdays
authenttick,  MADNESS ENTIRE NATION DISTURBS SOLITARY MIND ENOUGH SAY PERSON MAD~Francis Nakuru Outering Road,Raila Maandamano MaandamanoThursdays
KevmahMaish,  Kisumu slum demonstrator area Azimio Commands command,MaandamanoThursdays
FrontdevDude,  main concern outcome protest number people attend demonstration especially week day mfs get nothing probably nothing lose,MaandamanoThursdays
HarryGodfirst, ,Kenya MaandamanoThursdays
Jeshi_LaBABA,  ULTIMATE POWER BELONGS PEOPLE,MaandamanoThursdays
MKENYA_SHUJAA,  clear Raila one Kenyatta ’ land organise Quite unfortunate,NorthlandsInvasion Maandamano MaandamanoThursdays
HarryGodfirst, ,Kenya MaandamanoThursdays
SuPremeKimani3, ,tirriestuesday MaandamanoThursdays
OmaribaKE,  Raila Odinga allege assassination attempt say car shot 7 time live bullet,MaandamanoThursdays
GabrielDolan1,  thug thief take advantage Azimio fast lose public support Better discover smart effective protesting forget,MaandamanoThursdays
SuPremeKimani3, ,tirriestuesday MaandamanoThursdays
NoelKasewo,  Rest peace,RipAhoufe MaandamanoThursdays
254_exclusive,  Monday mkitupea izi vitu Kazi ingine mtuachiewe clear way hadi cbd,Ukraine Raila MaandamanoThursdays
SuPremeKimani3, ,tirriestuesday MaandamanoThursdays
Starty_KE,  Ati Baba ASASEMA Whats Shosh,MaandamanoThursdays
OKendrick0,  enjoy humiliation meted inhale toxic fume hostage fair within constitution Aluta continuum,MaandamanoMondays
SuPremeKimani3, ,tirriestuesday MaandamanoThursdays
JaneFKyalo,  pissed rn dont need negative energy Meanwhile start Monday,MaandamanoMondays
Rush_254, ,MaandamanoThursdays
RuudInKenya,  attack behind act willful ignore act within frame Bill Rights,MaandamanoThursdays Nairobi
authenttick,  Youths Outering Road Nairobi breathe fire Police deploy chase protective gear grab try barricade road block convoy Edwin Sifuna Eldoret Gatundu Maxine Wahome Babu Owino,Azimio Raila Maandamano MaandamanoThursdays
PopularStories_,  Outering Road,Maandamano MaandamanoThursdays
TalibDaishin,  much Mzee hat Somalis,MaandamanoThursdays
Dr_LeNoir_,  shambolic act rob people broad daylight demonstration peddle young people take advantage demonstration,MaandamanoThursdays
BigKahunar,  IGP arrest ASAP Raila law lakini still continue bring cost living,MaandamanoThursdays MaandamanoMondays
ViralTeaKe,  NPS term claim propaganda spread across social medium platform add malicious meant cause fear among member public,MaandamanoThursdays
lord_violence2,  also random meeting without announce go mobilization definitely fear sniper might track,MaandamanoThursdays
lord_violence2,  Raila Odinga address People door car last two demonstration despite car sunroof,MaandamanoThursdays
ItsMJ254,  Kenyans angry appointment illegal CASs like Omanga Kidero chew tax tune ksh 470M+ every year,MaandamanoThursdays
RadaNiBaba22,  Eastlando leo wameambia Kibrahold drink kaende sana,PlayOfTheDay MaandamanoThursdays
AnnLorna1,  Targeting attack journalist air event unfold must condemn strong word possible sad day Kenya,MaandamanoThursdays Raila Azimio OuteringRoad
SanyaNabwana,  WAR : Dont corner rat,MaandamanoThursdays Maandamano
Brianosiema,  Azimios demand legit,Ukraine Railaspeaks MaandamanoThursdays edwinsifuna babuowino
NabwanaSanya,  WAR : Dont corner rat,MaandamanoThursdays Maandamano
ChrisstalFarms1,  Outering Road : climax today business police run tiagas economic revolution movement Baba unstoppable Babu Owino Edwin Sifuna,RailaOdinga Maandamano MaandamanoThursdays
Jeshi_LaBABA,  JESHI LA BABA ALE Alleged Police shot Killed Young boy Outering RoadTheyre use live Bullets Civilians,MaandamanoThursdays
ShadowNewsKe,  Raila Odinga want access Nairobi CBD maximise violence ampdestroy business worth billion Ksh FAILED today FAILED Hed run back Karen🤣 Azimio La continue FAILFAILFAIL,MaandamanoMondays MaandamanoThursday Maandamano
odindomarvin,  country afford kind scenario survive economically total economic sabotage protest need end,MaandamanoThursdays Outering Raila Maandamano ThikaRoad
thekenyatimes,  tell Raila Odinga unfair country DP Rigathi Gachagua,MaandamanoThursdays
AzimioTv,  soon illegitimate regime meet people power head,MaandamanoThursdays
rankingizzoh,  reason ghetto people demonstrate coz pay sothey organize group tell leader call politician tell get crowd either leader go send money,MaandamanoThursdays
AntonyG70938608,  liar goon leave behind guy peaceful demoswhen puppet police decide throw teargas canasta themso retaliatethe police use brutal force good,MaandamanoThursdays
cff_kenya,  continue exercise right protest urge protester peaceful lawful protest Destruction property protester water legality protest also call upon police uphold law,MaandamanoThursdays FreeToProtest
DLUDOGOLI,  One day people say enough enough Hiyo siku inakaribia soon,MaandamanoThursdays
mbvxcavag,  Guess tell,MaandamanoThursdays
KabaniSekanyol1, ,MaandamanoMondays MaandamanoThursdays ENDM7Dictatorship
Roy_koech7,  Mapema ndo best MC Fullstop,MaandamanoThursdays
Peterz_Model,  Kenyan police officer go back school mentorship dont know whether know use create money foreigner Mr Ruto officer learn Pwani University Outering Road,Ukraine MaandamanoThursdays Raila
adann100,  Uhurus farm Railas industry Media Azimio keep quiet Shame Since Jumia Somali own need response Somali leader,maandamanothursdays
TradearlNewsSvc,  Protestors loot Kismu supermarket allegedly give police milk — Standard,MaandamanoThursdays JamiaSupermarket TradearlNews
BlaqAnarchist,  VANDALISED TODAY : New Sh37m Kwee Funeral Home Governor open yesterday Jaramogi Oginga Odinga Teaching Referral Hospital Kisumu Peaceful protest,Raila MaandamanoThursdays
rankingizzoh,  Social medium medium house make look like majority Kenyans demonstrate make look bad reality pay goon demonstrate cause unrest rest people mind business,MaandamanoThursdays
ncbethebest1,  think people continue say Vs accord election result mention possible ignore 488 % idea next 5 year hungry citizens/Young people keep patriotism forever,Kenyans Kenyans Azimio
waza_news,  Farmers Murindukos Karuangi village Mwea Kirinyaga County count loss monkey invade farm,MONKEYS farm MaandamanoThursdays
AmianiOfficial,  tell Raila Odinga unfair country DP Rigathi Gachagua,MaandamanoThursdays
gff_kim,  Ngombe ni ngombe 2 sad hizi mtaacha 2 foolish people,MaandamanoThursdays MaandamanoMondays
Meshack_namayi,  Uku Pipeline na Outering road Sai ni masaa ya kuiba sasa alaf wafanye mistake waanue stima plus nitawashukuru Sana Sema kuomoka na double door fridge microwave condom bed Unga TV woofer etc,Raila MaandamanoThursdays
TheBarnupdate,  Kenyans high time become real ’ longer laugh matter Lets leave fact many business close third week Maandamano,MaandamanoThursdays Maandamano Raila protest
AslayIdris,  today family go sleep hungry another family lose source income someone lose job today whats happen arrest sleep old man,MaandamanoThursdays MaandamanoThursdays
RealSimbaC,  think Mathare Kawangware Kibera mighty try Pipeline see today son Jaramogi weve always know Hes mighty sovereign everlasting must reclaim victory,Raila MaandamanoThursdays
komborianga,  case mainstream medium doesnt focus thisRemembernever allow manipulate brainwashedNone self free mind mental slaveryThe Azimio adherent need EMANCIPATION,MaandamanoThursdays Raila
RentmyRydez,  difference GLE 53 amp 63 GLE53 get super smooth 429hp turbocharged inlinesix GLE63 feature almighty 603hp twinturbo V8 9speed auto transmission amp allwheel drive,MaandamanoThursdays
KOT_Loyalss,  back President William Ruto know August Election think West back coup mistaken,MaandamanoThursdays
RetweeterKe,  ECONOMY,MaandamanoThursdays
BigKahunar,  Itakuwa ivyo ivyo Ambia Ruto apunguze Bei ya Unga 70 Bob vile alisemamambo ya server kufunguliwa sisi hatuko,MaandamanoThursdays MaandamanoMondays
AllenMwiwawi,  Kamlesh Patni aka Brother Paul do Seems true Kenyan hustling spirit,MaandamanoThursdays
Peterz_Model,  either birth death still God Gods mercy grace comfort family friend involve fatal tragedy Pwani University Outering Road Pipeline Kisumu Peaceful Naivasha,theoutside inspirations MaandamanoThursdays Raila
waza_news,  According Vatican source pope Francis spend night hospital Rome treat respiratory illness,MaandamanoThursdays Nairobi PopeFrancis Vatican
joncaleaf1,  Wewe Kaa kwako ukichoka na,MaandamanoThursdays MaandamanoMondays
odindomarvin,  wanton destruction property peaceful protest Kayole Babu Owino Winnie Odinga Pwani University Martha Karua Gatundu Eldoret Moses Kuria Narok Runda Kedong Northlands DP Gachagua Mombasa Protests President William Ruto,MaandamanoThursdays Raila
NaitwaYoung,  Umeona Karen Kileleshwa Lavington Redhill posh area Ama hatuko economy moja Niwashenzi tu wanafuata billionaire kuharibu mali yao wakilala njaa yeye anarudi Karen kuwacheka,MaandamanoThursdays Raila
MpashoNews,  Hi Mpasho currently Jamu,MaandamanoThursdays
ChristineMangi,  Police Rubbish Allegations Collaborating Goons Azimio Protests,MaandamanoThursdays Maandamano
Abdy_14_, ,MaandamanoThursdays
johntymuch,  Shame wadimples think as wan na burn country milk Kenya dry blame country burn corrupt vulture govt easily conceal loot,MaandamanoThursdays
SamMasika_,  demonstration luo affair confused element tribe,MaandamanoThursdays
MumoOnesmas,  Tension youth attempt raid Kenyattas Kedong ranch Northlands invasion,Kedongranch Northlands UhuruKenyatta Raila RutoMustGo Nairobi Kisumu MaandamanoThursdays Maandamano PwaniUniversity
_PoliticalDaily,  Office Kenyas UDA party set ablaze protester demonstrate high cost live amp election rig clear sign grow frustration amp anger among people Urgent action need address concern amp restore calm,protests MaandamanoThursdays
TMoronge,  use think/speak mind independently hed maintain objectivity perhaps hed president Kenya today,MaandamanoThursdays
Abdy_14_,  Innocent suffer,MaandamanoThursdays
TeddyBarasa,  middle age man Murdered Kayole around Jacaranda ground Outering William Ruto Rest peace,MaandamanoThursdays
MumoOnesmas,  Rutos portrait fall arrive preside American Chamber Commerce Summit,Azimio Raila RailaOdinga RutoMustGo MaandamanoThursdays Maandamano demonstration PwaniUniversity Nairobi Kisumu
AzimioQueen,  Azimio Peaceful demonstration aim push illegitimate regime reduce cost livingopen serversstop dictatorship among irreducible minimum,MaandamanoThursdays
ChristineMangi,  Attacks journalist stop NTV ’ camera person others badly injure teargas canister explode,MaandamanoThursdays Maandamano Journalismisnotcrime
SG_domi,  Maandamano outcome : •Jamia Supermarket loot •Jaramogi Oginga Odinga mortuary vandalize equipment destroy •Businesses along outering road loot ground •Most business Nairobi Nyanza remain closed Karen MC Full Stop Pipeline,MaandamanoThursdays
joeamanon, ,RutoMustGo Maandamano MaandamanoThursdays
waziri_fujo,  Use one word describe today,Maandamano MaandamanoThursdays
MutuaLoyd,  Kenya want Mr Raila Odinga,MaandamanoThursdays
jeune_afrique,  À l ’ appel de chef de l ’ opposition de manifestants se sont rassemblés pour une 3e journée de protestation au Ils accusent ’ être incapable ’ agir contre l ’,RailaOdinga Kenya WilliamRuto inflation
KTMN_Ke,  Raila promise Mother Rallies Monday,MaandamanoThursdays MaandamanoMondays
CosnameTv1,  man spot protest half naked Anti Government demo Migori March 30 2023 Outering Road Pwani University,Nairobi Raila MaandamanoThursdays JKLive cosname
ncbethebest1,  Question look situation political leader amp think still room dialogue message young people protest term sustainable peace community,WilliamRuto RailaOdinga
AzimioMDD,  sure peaceful police police cause chaos Endeni mpige bandit huko North Eastern leave peaceful hungry Kenyans alone police destroy property suppose protect isult democracy Outering Road Edwin Sifuna,MaandamanoThursdays
SamMasika_,  bad thing happen Raila arrest detain dont think anything fear wont country loose guy gag together want go,MaandamanoThursdays
Hekock,  RAILA GREATEST ILLITERATE POLITICAL GOON EVER COJNTRYHE UNLIKE OTHERS REACHED HIGH TABLE VIOLENCE INTIMIDATIONHE SICK MAD MAN,MaandamanoThursdays Maandamano
IthaliiJackson,  support idea daily maandamano azimio Monday Monday Reply Outering Road Karen Raila Ruto,MaandamanoThursdays MaandamanoMondays
shot_xr, ,MaandamanoThursdays
dudumbaya_dudy,  Police overpower Protesters along Outering Road Pwani University RIP Outering Road Babu Owino William Ruto Pipeline Runda Martha karua amber ray karen gatundu trade CS moses Kuria Eldoret,Raila MaandamanoThursdays
CKogutu,  Turns Governor Nyong ’ right suspend demo destruction property Kisumu City mindboggling,MaandamanoThursdays
solo_ambuku,  speak soon think outgun government monopoly instrument violence agent train kill maim legal framework behind boot dont tempt fate fren Stop stupidity,Maandamano MaandamanoThursdays
SanyaNabwana,  Oyugis : Residents deem fit take Police vehicle park instead fuel wastage witness,MaandamanoThursdays
NabwanaSanya,  Oyugis : Residents deem fit take Police vehicle park instead fuel wastage witness,MaandamanoThursdays
IthaliiJackson,  Seems Ruto Inspector General enjoy see police work protester utilize teargas budget Outering Road Karen Raila,MaandamanoThursdays
MKENYA_SHUJAA,  see face plaster front page answer property steal belong Kenyatta,Maandamano MaandamanoMondays MaandamanoThursdays
KijanaYaRhonda,  Hauski kuna jamaa alipiga tear gas heady,MaandamanoThursdays
osakyna_n,  winner war Ruto lose Raila lose police lose Elected leader lose Religious amp civil society lose loser KENYA lose,MaandamanoThursdays Maandamano MaandamanoMondays
Asamoh_,  criminal element must plant state destroy property blame opposition supporter saw day back,MaandamanoThursdays
Sam_Lulli,  NTV reporter attack viciously demonstrator police reportedly able rescue man rush hospital,MaandamanoThursdays
MigosiAmbrose,  much Respect do country oppose cant continue put Economy lock property Destruction one Man Arrested | KISUMU |,MaandamanoThursdays MaandamanoMondays
Fay254_,  Play win captainsbet enjoy boost odds 🤑 free withdrawal register Thika Road Kisumu Bandits Malema Pwani University Babu Owino Eldoret RIP Kayole,MaandamanoThursdays Raila
DNdunguMaina,  Kama umeshiba pesa yetu ya subsidy tulia Sisi tunaumia lazima,MaandamanoThursdays
Fay254_,  Receive 100 % deposit bonus today registration via link Thika Road Kisumu Bandits Malema Pwani University Babu Owino Eldoret RIP Kayole,MaandamanoThursdays Raila
Koffi_brianKE,  Mortuary Really Wait go loot soul whove rest bad Thooooooo,MaandamanoThursdays
DNdunguMaina,  Rt Hon Raila Odinga free Kenyan Constitutional right politics long alive Kenya democracy dictatorship cant force anyone quit politics Kenyans wont stop restore subsidy,MaandamanoThursdays
mob25flow,  baba today people praise Lord many see shower due change weather dunda moja safi ya kukaribisha weekend dj know task deliver,MaandamanoThursdays TBT Raila
VinnieKinkade,  scene make Gachagua Ichungwa amp clown mad hadi hire goon loot people business blame Raila Uhuru 🤣 Hakuna violence ni street bash tu Pwani University Imara Daima Siaya Naivasha Kisumu Kayole,MaandamanoThursdays Raila
whitney_stesher,  INJUSTICE BECOMES LAW RESISTANCE BECOMES DUTY,OuteringRoad Pipeline Azimio Raila Maandamano
CosnameTv1,  Despite demonstration happen today President William Ruto say meeting assure President Biden commitment strengthen democracy Kenya public,MaandamanoThursdays Raila Nairobi JKLive Ruto cosname
NabwanaSanya,  Vintage point :,MaandamanoThursdays
Silent_Singer21,  Nunua samosa ya nyama ya mbaotoa hiyo nyama ukule na ugali alafu ngozi ukunywe nayo chai /Babu Owino/RIP/Pwani University/,Raila MaandamanoThursdays
pessahdaud,  least find unga day Srap metal express,MaandamanoThursdays MaandamanoMondays
SanyaNabwana,  Vintage point :,MaandamanoThursdays
IanSeli,  Look peaceful demonstration look like accord azimio,MaandamanoThursdays
Litempo3, ,MaandamanoThursdays
IthaliiJackson,  Ata kama support Azimio daily maandamano unfair supporter fair Baba please,MaandamanoThursdays
osamaoloo,  Stop overindulging Unrestrained pleasureseeking dull sens weaken intelligence make slave hormone indulge pleasure life avoid extremity master moderation,MaandamanoThursdays
DiplomasiaNews,  Breaking News : Unreliable Source tell us Pink spray Leaders Convoy outering Road affect Breathing Systems check aid Meanwhile back engage supporter albeit unstable Live Scene,Azimio
brian_ombui8,  police officer inhuman Kudos individual big heart sole purpose security institution,Maandamano MaandamanoThursdays
