username,lemmatized_text,extract_hashtags,labels
Cosmic_Boom,  si mlisema mnataka bomb mbona mnalia na ni risasi tu Foreskinopithecus ile uchawi raila aliwawekea sijui ni gani mtakufa wengi sana juu ya huyo mganga mganga anawatoa kafara huko Enugu,MaandamanoThursdays MaandamanoMondays,[0.6189286  0.25961363 0.12145781]
Devolve_Mirror,  War dont determine winner right leave War father bury son peace son bury father Kisumu Kibra bury son kill police,MSITUUWE MaandamanoThursdays,[0.5160526 0.3535943 0.1303531]
MumoOnesmas,  police use pinkdyed water spay Azimio protester,PoliceBrutality Police Demonstrations Maandamano MaandamanoThursdays KDD233P Raila RutoMustGo,[0.5162113  0.33402717 0.14976153]
HuyuNiSMS,  Bigwigs Mkitafuta idea za Twitter Spaceshizi hapa zitatusaidia kucope na effect za maandamano since wamesema haziishi anytime soon,MaandamanoThursdays MaandamanoMondays Maandamano,[0.26966664 0.5289416  0.20139179]
MumoOnesmas,  Ruto hold conversation President Biden amid Azimio protest,RutoMustGo Ruto USA UnitedStates BidenAdministration Raila Maandamano MaandamanoThursdays Demonstrations,[0.17283748 0.6234513  0.20371126]
Gavanor01,  Kisumu Raila car plate number mask KDD 233P KBB 233B,MaandamanoThursdays,[0.05030726 0.91190463 0.03778817]
Tasha_ke746,  Play win captainsbet NBA heat🥳 analysis win big🥳 Register Thika Road Kisumu Bandits Malema Pwani University Babu Owino Eldoret RIP,MaandamanoThursdays Raila,[0.6117681  0.32627946 0.06195239]
MumoOnesmas,  Raila alleges another assassination attempt,Raila MaandamanoThursdays Maandamano Demonstrations Nairobi Kisumu KDD233P UhuruKenyatta RutoMustGo,[0.84233075 0.13698325 0.02068596]
Tasha_ke746,  100 % first deposit bonus Zero tax Free withdrawal Register claim Thika Road Kisumu Bandits Malema Pwani University Babu Owino Eldoret RIP,MaandamanoThursdays Raila,[0.46294573 0.42875847 0.10829587]
Gavanor01,  Kisumu Raila say car Babu Owino say NMG journalist injure police “ allege ” medium house vehicle NMG tell car reg number mask KBB 233B KDD 233P,MaandamanoThursdays,[0.53364056 0.38634834 0.0800111 ]
ogetta_daniel,  Avoid Outering Road Especially stretch Donholm Fedha gang youth block highway ask valuable motorist let pass,MaandamanoThursdays,[0.49371344 0.43665865 0.06962785]
thecivican,  Maandamano Thursday : Raila,RailaOdinga,[0.15719678 0.65205246 0.19075081]
thecivican,  Raila Odinga promise mother demonstration Monday April 3,RailaOdinga,[0.05516686 0.8316303  0.11320288]
alikula0,  know chaos cause fan stop Hes Selfish,OuteringRoad RailaOdinga,[0.91680557 0.06815889 0.01503549]
Jeshi_LaBABA,  WAKIRUSHAAAAATUNARUSHAAAA,MaandamanoThursdays,[0.48723105 0.2792928  0.23347612]
novasbuzz,  Pwani University Comrades strike demand answer University Administration allow faulty bus leave school,PwaniUniversity Raila Quickmart57 RailaOdinga,[0.76615775 0.21003368 0.02380859]
Ke_Dictionary,  life put tough situation dont say say try,kenyandictionary dailyquotes quotes kenyanquotes MaandamanoThursdays,[0.5627442  0.3341833  0.10307249]
HarryGodfirst, ,kenya MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
TheeHub_KE,  RIP [ Rigathi Gachagua Boutross Citizen TV KDD 233P ],PwaniUniversity MaandamanoThursdays RailaOdinga,[0.61945057 0.35267952 0.02786996]
High96121553,  picture see close range bullet wouldnt miss share picture show seven bullet impact car🤔 wakenya wajinga waliisha buanaa,mandamano Azimio,[0.30132365 0.4366155  0.26206085]
valerieagure,  Jokisumo awaken dead take demo morgue Arrest wuon Lupita arrest criminal professor father award win actress makgi,awuoro MaandamanoThursdays,[0.67039484 0.24560851 0.08399665]
HarryGodfirst, ,Kenya MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
johnmark254,  Video week,MaandamanoThursdays,[0.1321008  0.59209716 0.27580202]
johnmark254, ,Oyugis MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
johnmark254,  Police source,MaandamanoThursdays,[0.32464683 0.5003435  0.17500968]
doctorsaid001,  Friend mine army confirm refuse recruit undercover maandamano Soldiers use Stay Alert,MaandamanoThursdays,[0.6314692  0.32587087 0.04265991]
johnmark254,  Matchday 3 Juakali 31 police Oyugis 60 police Kondele 11 police extra time kondele Half time,MaandamanoThursdays,[0.17846943 0.6934505  0.12808007]
KibisuMulanda,  go footage amp honestly doubt whether government amp opposition know monster feed step forward amp one able tame President amp,MaandamanoThursdays,[0.76734644 0.17119661 0.06145698]
bnamwene,  play much Tears,MaandamanoThursdays Raila,[0.643222   0.2871372  0.06964087]
Bobby88Bob,  Kenya Kisumu,MaandamanoThursdays Raila,[0.34052387 0.48454344 0.17493273]
Briyan1998,  RIP COMRADE,PwaniUniversityRailaOdinga,[0.84786624 0.11194724 0.04018649]
AceprinceP,  Cypher,Maandamano Nairobi RailaOdinga MaandamanoMondays imaradaima edwinsifuna luos,[0.31364036 0.49667597 0.18968369]
njagi_dave,  9 really ashamed fellow medium colleaguesKwa walio umia ugueni poleIla iwe funzo every story worth limelight worth tell,MaandamanoThursdays,[0.84925467 0.10293068 0.04781471]
njagi_dave,  8Tupo mbioni kuangazia Nani kasema na nini alicho kisema bila kutathmini nini hasa kasema,MaandamanoThursdays,[0.46857166 0.38391054 0.14751782]
nohvinvinny, ,MaandamanoThursdays Raila,[0.3257778  0.38096133 0.2932608 ]
njagi_dave,  7 Every medium house want best salesTumesahau kazi wacha tuuze Sura kabisa,MaandamanoThursdays,[0.30730525 0.44011834 0.25257644]
njagi_dave,  6 peace busy run BabaGachagua rest ili kuuza Sura Tuta uza lini Sera,MaandamanoThursdays,[0.26825806 0.48610714 0.24563482]
njagi_dave,  5Mortuary imefunguliwa Jana shamble business make loss church mosque burntPwani Uni Ooooh Lord May soul,MaandamanoThursdays,[0.8664833  0.11084218 0.02267449]
SwalaNyetiKe,  law enforcement agency wish reiterate commitment discharge Constitutional mandate serve protect without fear favor adhere rule law utmost respect human right ~,MaandamanoThursdays,[0.24574374 0.40534586 0.3489104 ]
njagi_dave,  4 Every station daily morningevening night busy create tension heal Whos highlight aftermath Kisumu,MaandamanoThursdays,[0.22463813 0.52305675 0.25230515]
waza_news,  Farmers Murindukos Karuangi village Mwea Kirinyaga County count loss monkey invade farm,MONKEYS farm MaandamanoThursdays,[0.8218289  0.16098209 0.01718907]
njagi_dave,  3Whos focus aftermath demo give Kuzimia Kenya KwishaTeam platform parade anachry,MaandamanoThursdays,[0.12902339 0.64048815 0.2304885 ]
njagi_dave,  2 Let Martha RaruaTikiti Maji na Mzee wa Kuzimia forefront amoured vehicle,MaandamanoThursdays,[0.40525004 0.5001002  0.09464972]
teabag_ke,  Kenya Kuboeka ni wewe,MaandamanoThursdays,[0.53667974 0.31178632 0.15153393]
retired_comrade,  Imagine image Kenya today 🤔 icon democracy region amp envy neighbour country quickly loose country Kenya alarm rate go back thing fight anarchy dictatorship tyranny,MaandamanoThursdays Raila,[0.84264445 0.11952888 0.03782669]
SwalaNyetiKe,  Theres justification excessive force use peaceful unarmed citizen exercise democratic right today unprovoked attack leave car hit 7 live bullet aim Despite wont deter ~ Raila Odinga,MaandamanoThursdays,[0.6862631  0.24026236 0.07347454]
Princeof_Kenya,  Raila shoot would show hole 4K resolution Citizen TV would make 6hour documentary US amp German expert fly Ojinga show us Holes Car Attached Bullet Holes appear Car Incase forget,MaandamanoThursdays,[0.33752802 0.520928   0.14154398]
MayiekaKelvin,  Lethal truth EALA MP,MaandamanoThursdays,[0.24658264 0.34110412 0.41231325]
OgolaSirikal,  moment think scene Jean Claude vandame movie Kumbe Government operation stop opposition protest stop RIGHT,MAANDAMANOTHURSDAYS,[0.40616378 0.4585135  0.13532272]
habibomar201,  nation find hard look leader keep ear ground ~Sir Winston Churchill Ifikie,MaandamanoThursdays,[0.11288042 0.4593348  0.4277848 ]
GathuaGachora,  Bibilia uliweka chini na katiba pia need constitution back,stoppolicebrutality MaandamanoMondays MaandamanoThursdays,[0.59269    0.33077118 0.0765388 ]
Reptile_ke,  PEOPLE UNITED SHALL NEVER DEFEATED AMOUNT FORCE GOONVERMENT WHETHER USE TEARGAS WATER CANNONS BATONS BULLETS STOP KENYANS DEMANDING RESTORATION SUBSIDIES FUELELECTRICITYFOOD ETC EASE BURDEN WANANCHI,MaandamanoThursdays,[0.65477765 0.23647013 0.10875218]
Hezzy81651768,  Hii sasa haibambi Yenye inabamba ni hii,MaandamanoMondays MaandamanoThursdays,[0.542926   0.31917462 0.13789934]
JereShariff,  Revolutions start poor ordinary people rich billionaire live porch estate,MaandamanoThursdays,[0.2556045  0.5068602  0.23753533]
KathumoMumo,  Smh one talk two dead police men stone death pipeline stop,raila MaandamanoThursdays MaandamanoMondays,[0.9306187  0.05642292 0.01295838]
RealChalz19,  ’ gerrit then………………,MaandamanoThursday MaandamanoMondays RailaOdinga pipeline OuteringRoad…,[0.76053286 0.17244984 0.06701729]
Ke_Dictionary,  try,kenyandictionary dailyquotes quotes kenyanquotes MaandamanoThursdays,[0.35295498 0.3493987  0.29764628]
Reptile_ke,  Fellow Kenyans amp Helped Get Illegitimate Govt Power Corrupt Kickbacks Later onNow Theyre Sanitizing Police Brutality advise Government arrest BABA Time Comes SHALL PACK GO,MaandamanoThursdays,[0.91365796 0.07001979 0.01632226]
edwinotis123,  STOP ATTACKS : March 2023 remain dark month Kenyan medium since clamour multiparty democracy MCK far documented case attack local foreign journalist hand State nonState actor,MaandamanoThursdays,[0.8828162  0.09961794 0.01756581]
muzembialf,  UDA regime know well allow demonstration Nairobi attract Mamoth peaceful protest year Raila never give thing get messy,Nairobi RailaOdinga,[0.5594294  0.24694076 0.19362979]
Peterz_Model,  learn hard way Pwani University Photoshop Kisumu,theoutside Raila MaandamanoThursdays,[0.11300071 0.6111423  0.27585706]
AbalaKinyuaa,  KDD 233P KBB 233B happen occupant car UNNECESSARY BRUTALITY anyone call law enforcement unarmed individual,Maandamano MaandamanoThursday RailaOdinga,[0.9411127  0.04642301 0.01246428]
owen_toyota,  clear cause harm good party Whoever want take liability idk frankly idc thats position mean saw Pipeline Whats Either side claim anarchy Tumefumble 1/3,MaandamanoThursdays MaandamanoMondays,[0.9018511  0.0838243  0.01432465]
Osunga,  KENYA | CAMERA | Assassination attempt Raila Odinga attack accredited media…,MaandamanoMondays Kenya AP,[0.8389311  0.14276025 0.0183086 ]
VincentHarward,  Returning teargas owner Kenya,MaandamanoThursdays,[0.3873225  0.4478549  0.16482262]
kipkoech5867,  Dj though Bravo,JDD233P Citizentvnews Nairobi RailaOdinga BOYSPLANET,[0.06683296 0.09872103 0.834446  ]
peterju59314052,  comment Kenyans completely destroy mchawi Raila journalist cheap propaganda Police endelea kutwanga hawa githeri Raila journalist kabisa,MaandamanoThursdays,[0.892681   0.07655041 0.03076852]
Ke_Dictionary,  path must decide,kenyandictionary dailyquotes quotes kenyanquotes MaandamanoThursdays,[0.28206366 0.5307956  0.1871408 ]
judithkanaitha,  6 journalist badly injure Embakasi,MaandamanoThursdays,[0.9054783  0.08018649 0.01433525]
DNdunguMaina,  PEOPLE UNITED SHALL NEVER DEFEATED AMOUNT FORCE GOONVERMENT WHETHER USE TEARGAS WATER CANNONS BATONS BULLETS STOP KENYANS DEMANDING RESTORATION SUBSIDIES FUELELECTRICITYFOOD ETC EASE BURDEN WANANCHI,MaandamanoThursdays,[0.65477765 0.23647013 0.10875218]
carlosabich1,  Let us show solidarity comrade Monday postpone grief across nation inclusive university,MaandamanoMondays,[0.43326715 0.28582728 0.28090563]
GSHARP36893214,  Wow sound like Rigathi Gachagua underestimate Raila Odinga supporter Perhaps time new approach Deputy President team Click profile plz,MaandamanoMondays,[0.5294162 0.280564  0.1900198]
MauMauHistorian,  defend Kenyans Raila goon please RESIGN Hii ni nini surely suffer elect suffer elect suffer elect Seriously,RailaOdinga Sifuna CitizenTV MosesKuria Uhuru,[0.8246776  0.10299427 0.07232813]
geeradioke,  plead authority arrest Raila Odinga perpetually push Kenya brink civil war illegal destructive protest state,RailaOdinga MaandamanoThursdays Ruto,[0.92345315 0.06048223 0.01606456]
humblecriminal,  Unaambia Dem akutumie pic anatuma picha 100fai kwani unataka nkutengenezee album,MaandamanoThursdays,[0.41665328 0.40647307 0.17687365]
TeleMoir,  Innocent civilian throw back tear gas Police Outering road people believe video Courtesy,Raila MaandamanoThursdays,[0.8840735  0.10074778 0.01517875]
GideonKibicho1,  Bee Centre Kayole war zone Watu wamechomewa hadi magari Edwin Sifuna Imara Daima Gatundu Runda Jacaranda Citizen TV Ruto,MaandamanoThursday Raila RailaOdinga,[0.48908496 0.41372636 0.09718873]
bigmitchjatelo, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
CasparApiyo,  sailing sugar cook oil mention Famine drought Interior CS give empty threat bandit beat innocent citizen hold peaceful possessionsshameshame shame,RutoMustGo Raila MaandamanoThursdays,[0.91474324 0.06516807 0.02008863]
Peterz_Model,  Fool time Fighting defend white Mfucker foreigner Kesho mtoto yake anataka bursary hapati sababu zimejenga bank account ya foreigner Fuo Sana Pwani University Photoshop Kisumu Outering Road,theoutside MaandamanoThursdays BLAZESpaces Raila,[0.6222968  0.23180355 0.14589967]
carlosabich1,  worry people help paint siaya kisumu yellow people set office fire ablaze,MaandamanoThursday MaandamanoMondays,[0.769524   0.17317799 0.057298  ]
Tasha_ke746,  Last one amp GN Thika Road Kisumu Bandits Malema Pwani University Babu Owino Eldoret RIP,MaandamanoThursdays Raila,[0.75903153 0.21109985 0.02986856]
magwaz3,  Assassins usually professional poor vehicle KDD 233P alter KBB 233B Ds amp P alter bring confusion action remain NTV amp Citizen Tv journalist hurt Pumwani University,Azimo RailaOdinga Maandamano,[0.89668274 0.09004548 0.01327169]
JereShariff,  Raila Odinga stop take protest residential area ordinary people live hand mouth live President Ruto live slum slum dweller lower cost live government Take protest,MaandamanoThursdays,[0.56279445 0.30957767 0.12762785]
Amollo10,  Tem Uru ka umulo baba unee kaka Kenya diny ka pier paka,MaandamanoThursdays,[0.4061934  0.34680143 0.24700515]
edwinotis123, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
punctualhades,  mmmm,MaandamanoThursdays,[0.31073835 0.42345744 0.2658042 ]
Osunga,  KENYA | KorrupSchenn worth 20 brand new Mercedes Benz conduct per day Analysis :,MaandamanoMondays Kenya AP,[0.54624575 0.42436907 0.02938514]
mohadaniels01,  Place order us today Free delivery within Nairobi CBD Call 0112800325 KDD 233P Pwani University Vera Stamford Bridge Thugs Tassia MC Fullstop Edwin Sifuna Mwepu Kisumu,Quickmart57 MaandamanoThursdays Raila,[0.05333751 0.8885749  0.05808759]
NicholasOchanjo,  Uki guza mfuko ukiwa bash upate hauna simu,vera MaandamanoThursdays amberay,[0.43042552 0.37557518 0.19399923]
geeradioke,  Kisumu County administration assess loss goon raid destroy Jaramogi Oginga Odinga Teaching Referral Hospitals recently open multimilliondollar ultramodern funeral home,Kisumu MaandamanoThursdays RailaOdinga,[0.8050324  0.17012532 0.02484231]
Roy_koech7,  find eeheee KDD 233P,MaandamanoThursdays Raila Tonight KDD233P,[0.25316593 0.5128405  0.23399355]
charleen_ruto,  Lets settle Hustler Nation Like Kimani Ichungwa Retweet Babu Owino,MaandamanoThursdays,[0.3709311  0.39088774 0.23818116]
ManderaBlogger,  Supermarket owner tear business raid product steal protester Kisumu,MaandamanoThursdays,[0.8435376  0.13712987 0.01933249]
CosnameTv1,  WILLIAM RUTO SAYS heartfelt condolence family amp friend lose loved one Naivasha accident involve Pwani University bus,Nairobi JKLive cosname MaandamanoThursdays Raila Ruto,[0.82693034 0.1387833  0.03428632]
Reptile_ke,  video,MaandamanoThursdays,[0.2662077  0.46311098 0.27068132]
bill_mwendwa,  Economic Terrorists point,MaandamanoThursdays,[0.7219861  0.26060197 0.01741185]
AnkoSamwel,  Oya Io gari ni KDD 233P ama KBB 233B,MaandamanoThursdays,[0.34780997 0.5211476  0.13104233]
FlavioKim_,  Mkipewa security mnateta Mkikosa kupewa security mnateta Mkipewa chance ya maandamano mnateta Haswa nini mwataka jameni 🤷‍,MaandamanoThursdays,[0.51127416 0.36232936 0.12639648]
itsNjoguGichuru,  Tomorrow another day gachietha post us workaholic hes become,Kdd233p edwinsifuna PwaniUniversity Tassia Raila MaandamanoThursdays,[0.5220842  0.30068585 0.17722996]
vinnymongare,  ngoja ya monday next week prepare next post,MaandamanoMondays,[0.10796119 0.6763947  0.21564409]
ManderaBlogger,  Ruto megalomaniac psychopath tweet come haunt five year later Thats exactly William Ruto stop,MaandamanoThursdays,[0.9453133  0.04203167 0.01265513]
Farah_Naman,  Journalism Crime : 3 journalist attack wound demo via,MaandamanoThursdays Raila,[0.8216059  0.1626084  0.01578571]
Larrynganga1,  Journalism Crime : 3 journalist attack wound demo via,MaandamanoThursdays Raila,[0.8216059  0.1626084  0.01578571]
SwalaNyetiKe,  Journalism Crime : 3 journalist attack wound demo,MaandamanoThursdays Raila,[0.8457558  0.1402388  0.01400539]
Tasha_ke746,  Ni kama tumepewa pesa Bure na Patel 🥳 Two game 🥳 Thika Road Kisumu Bandits Malema Pwani University Babu Owino Eldoret RIP,MaandamanoThursdays Raila,[0.5839417  0.28964475 0.12641355]
Reptile_ke,  Looks like illegitimate regime learn powerful lesson : never underestimate strength people,MaandamanoThursdays,[0.7708808  0.13828039 0.0908388 ]
HarryGodfirst, ,Kenya MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
TheeHub_KE,  sad RIP Pwani University,MaandamanoThursdays DPGachaguaSpeaks,[0.9081238  0.07624198 0.01563419]
TeleMoir,  police one put Nairobi City County lock start violence lead loot difficult see,MaandamanoThursdays,[0.91058    0.07912256 0.01029744]
Evanolangat1,  people looting spree name,MaandamanoThursdays,[0.55842113 0.39319494 0.04838394]
CosnameTv1,  WISE KNOW NEXT difference event today lead drop cost live farmer plant weed wait harvest sell high price,MaandamanoThursdays Raila JKLive cosname Nairobi,[0.09804318 0.79458284 0.10737404]
Tasha_ke746,  Baseball amp ice hockey Thika Road Kisumu Bandits Malema Pwani University Babu Owino Eldoret RIP,MaandamanoThursdays Raila,[0.6237837  0.33529213 0.04092409]
Maxxuull,  Nikubaya Saidia,maandamanothursdays,[0.3229432  0.42603981 0.25101703]
johnmark254,  Weeh baba weka hoi kitu kila siku,MaandamanoThursdays MaandamanoMondays Raila,[0.37232482 0.35322857 0.27444658]
KenyaForKenyans,  hand thingy instead preposterous Twitter,MaandamanoThursdays,[0.8428215  0.11375273 0.04342579]
TeleMoir,  Dismus Mokua say Raila say high cost living external variable get Damascus moment Raila simply tell Ruto Musalia Rigathi promise get office,MaandamanoThursdays,[0.27595943 0.45632514 0.26771542]
a_gallgallo,  terrorist hire KK govt finish Raila KDD 233P Tassia,MaandamanoThursdays,[0.4141773  0.46490315 0.12091956]
ochieng_philip,  Oya seven bullet attempt tantamount 7days week demonstration start next week,MaandamanoThursdays,[0.18272977 0.416844   0.40042624]
Roy_koech7,  KDD 233P,MaandamanoThursdays Tonight Raila KDD photoshoot,[0.2782254  0.5816299  0.14014478]
Tasha_ke746,  Ice hockey Thika Road Kisumu Bandits Malema Pwani University Babu Owino Eldoret RIP,MaandamanoThursdays Raila,[0.7186266  0.25455356 0.02681986]
Argertta, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
CosnameTv1,  UPDATES Updates Pwani University bus accident Naivasha Kindly note 48 student release ni wenye walikuwa kwa busthey take hospital kuangaliwa tuu wasikuwe traumatize,MaandamanoThursdays Nairobi Raila JKLive cosname,[0.80356586 0.17109035 0.02534381]
TheeHub_KE,  sad great life young promising lose live Pwani University RIP Citizen Tv,MaandamanoThursdays DPGachaguaSpeaks,[0.935427   0.04767203 0.016901  ]
Nyagairungu1,  President want rush amidst Peaceful environment first,MaandamanoThursdays,[0.20638865 0.47332183 0.32028946]
AslayIdris,  arest raila man get deep nerve,MaandamanoThursdays,[0.6029537  0.20489302 0.19215333]
Tasha_ke746,  Baseball Thika Road Kisumu Bandits Malema Pwani University Babu Owino Eldoret RIP,MaandamanoThursdays Raila,[0.72549725 0.24261795 0.03188479]
